"clst_id","x1","x2","x3","bld","total","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12","total2","fage_1","fage_2","fage_3","fage_4","fage_5","fage_6","fage_7","fage_8","fage_9","fage_10","fage_11","fage_12","mage_1","mage_2","mage_3","mage_4","mage_5","mage_6","mage_7","mage_8","mage_9","mage_10","mage_11","mage_12","lon","lat"
1,0.50318240112171,0.472326050438901,0.525996038361517,238,2491,164,159,394,395,253,371,283,158,111,84,53,66,2491,87,82,201,221,142,204,154,78,57,47,26,38,77,77,193,174,111,167,129,80,54,37,27,28,0.0166666666665,0.9833333333335
2,0.515533305190302,0.44588163521668,0.612559886592569,271,2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.9833333333335
3,0.493067581966491,0.494667929272615,0.473097814735267,276,1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333335,0.9833333333335
4,0.477262942293145,0.451209940804027,0.537107066679788,237,2240,180,175,344,338,209,285,223,167,116,91,59,53,2240,95,85,192,182,114,151,108,87,54,50,31,26,85,90,152,156,95,134,115,80,62,41,28,27,0.1166666666665,0.9833333333335
5,0.455630076442239,0.381795771689609,0.56217910525655,228,2385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.9833333333335
6,0.518789384479965,0.433608480876241,0.451632271153363,226,2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1833333333335,0.9833333333335
7,0.508628311145435,0.447034981297855,0.578066912044519,266,3820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2166666666665,0.9833333333335
8,0.478168747418301,0.489287493277552,0.510517993050753,232,3598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.9833333333335
9,0.457068942884169,0.459981662038707,0.568260876886737,215,3161,221,227,460,435,362,482,349,223,123,125,81,73,3161,111,115,245,238,199,248,178,114,63,65,43,37,110,112,215,197,163,234,171,109,60,60,38,36,0.2833333333335,0.9833333333335
10,0.481220728644541,0.475304225733662,0.370807542486058,235,3125,209,255,408,425,346,462,369,223,154,130,83,61,3125,104,137,230,218,170,233,190,124,79,66,44,33,105,118,178,207,176,229,179,99,75,64,39,28,0.3166666666665,0.9833333333335
11,0.476352866155651,0.4226947967469,0.484522109873848,226,7303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.9833333333335
12,0.524476643530073,0.466014371266963,0.535654005508632,268,10223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3833333333335,0.9833333333335
13,0.463467997649709,0.436518617699096,0.443124712981802,230,10678,818,757,1595,1546,1136,1550,1150,728,510,391,252,245,10678,451,390,816,823,611,794,616,369,263,218,131,123,367,367,779,723,525,756,534,359,247,173,121,122,0.4166666666665,0.9833333333335
